----------------------------------------------------------------------------
        UniProt - Swiss-Prot Protein Knowledgebase
        SIB Swiss Institute of Bioinformatics; Geneva, Switzerland
        European Bioinformatics Institute (EBI); Hinxton, United Kingdom
        Protein Information Resource (PIR); Washington DC, USA
----------------------------------------------------------------------------

Description: Drosophila: entries, gene names and cross-references to
             FlyBase
Name:        fly.txt
Release:     2016_07 of 06-Jul-2016

----------------------------------------------------------------------------

More information on Drosophila, its  genome, proteome, biology and genetics,
is available from the following WWW servers:

FlyBase      : http://flybase.org/

For each Drosophila entry in Swiss-Prot we provide the following information:

1) Primary gene name

   We indicate as the primary gene name, the gene symbol  currently in use
   in FlyBase.

2) Drosophila FlyBase species 'code'

   If a sequence does not originate from Drosophila melanogaster, then the
   species of origin is indicated using the  FlyBase  four letter code for
   that  species.   Example, Dvir stands for Drosophila virilis. All these
   codes refer to Drosophila species with the exception of the following:

   Camo for Chymomyza amoena
   Salb for Scaptomyza albovittata
   Ztub for Zaprionus tuberculatus

3) Swiss-Prot entry name

4) Swiss-Prot primary accession number

5) FlyBase gene accession number

   If more than one Swiss-Prot entries are linked to the same FlyBase entry
   than only the FlyBase gene accession number is only indicated once. This
   occurs when multiple entries are created due to alternative  splicing or
   when a transposable element encodes for a number of putative proteins.


Gene name           Fly    Swiss-Prot               FlyBase
GA11319             Dpse   ADAL_DROPS   Q295P6      FBgn0071373
GA11352             Dpse   MED14_DROPS  Q29FF7      FBgn0071406
GA11364             Dpse   NEUFC_DROPS  Q29HF1      FBgn0071418
GA11386             Dpse   CUE_DROPS    Q29FE9      FBgn0071440
GA11453             Dpse   ENOPH_DROPS  Q296B0      FBgn0071504
GA11514             Dpse   FAM50_DROPS  Q299F9      FBgn0071565
GA11540             Dpse   FADD_DROPS   Q297U0      FBgn0071591
GA11548             Dpse   POMT2_DROPS  Q29IL2      FBgn0071599
GA11568             Dpse   SYF2_DROPS   Q28XK6      FBgn0071619
GA11577             Dpse   NCBP2_DROPS  Q293V6      FBgn0071628
GA11680             Dpse   CDC42_DROPS  Q29HY3      FBgn0071730
GA11810             Dpse   NOL6_DROPS   Q295U7      FBgn0071859
GA11817             Dpse   CIAO1_DROPS  Q292E8      FBgn0071866
GA11840             Dpse   ESN_DROPS    Q292U5      FBgn0071889
GA11937             Dpse   RM41_DROPS   Q291A0      FBgn0071986
GA12041             Dpse   MOC32_DROPS  Q29PG5      FBgn0072089
GA12045             Dpse   RM51_DROPS   Q29PG4      FBgn0072093
GA12241             Dpse   SGF11_DROPS  Q2LYX9      FBgn0072287
GA12254             Dpse   FUZZY_DROPS  Q29NZ8      FBgn0072300
GA12348             Dpse   OCAD1_DROPS  Q28X44      FBgn0072394
GA12437             Dpse   DANR_DROPS   Q29CW0      FBgn0072483
GA12631             Dpse   OPI10_DROPS  Q29E01      FBgn0072677
GA12665             Dpse   SNPF_DROPS   Q29KK2      FBgn0072711
GA12762             Dpse   TTC36_DROPS  Q2M021      FBgn0072808
GA13010             Dpse   POE_DROPS    Q29L39      FBgn0073048
GA13060             Dpse   KI26L_DROPS  Q29MB2      FBgn0073098
GA13095             Dpse   CISD2_DROPS  Q29BX8      FBgn0073133
GA13191             Dpse   NCASE_DROPS  Q29C43      FBgn0073228
GA13204             Dpse   WDR55_DROPS  Q294Y7      FBgn0073241
GA13208             Dpse   TACHY_DROPS  Q295T3      FBgn0073245
GA13249             Dpse   RSSA_DROPS   Q29J14      FBgn0073286
GA13269             Dpse   PGAM5_DROPS  Q29HG0      FBgn0073306
GA13399             Dpse   LTOR4_DROPS  Q29EZ6      FBgn0073436
GA13490             Dpse   DOP1_DROPS   Q292H2      FBgn0073526
GA13624             Dpse   COPG_DROPS   Q29AE5      FBgn0073660
GA13779             Dpse   CP2B_DROPS   Q29CA0      FBgn0073815
GA13787             Dpse   KTU_DROPS    Q292G3      FBgn0073823
GA13929             Dpse   IMPA3_DROPS  Q29JH0      FBgn0073961
GA13944             Dpse   RM52_DROPS   Q290P4      FBgn0073976
GA13961             Dpse   RIC8_DROPS   Q29IC2      FBgn0073993
GA14038             Dpse   ASNA_DROPS   Q28YJ2      FBgn0074069
GA14073             Dpse   UNPG_DROPS   Q28ZA9      FBgn0074104
GA14078             Dpse   RME6_DROPS   Q29HW3      FBgn0074109
GA14189             Dpse   VTU4_DROPS   Q29M30      FBgn0074218
GA14202             Dpse   AKTP2_DROPS  Q28YD9      FBgn0074231
GA14218             Dpse   MOCOS_DROPS  Q29GM0      FBgn0074247
GA14238             Dpse   CNEP1_DROPS  Q29I63      FBgn0074267
GA14249             Dpse   SMBT_DROPS   Q29L50      FBgn0074278
GA14252             Dpse   UFSP2_DROPS  Q2M1D1      FBgn0074281
GA14314             Dpse   COS_DROPS    Q292S8      FBgn0074342
GA14342             Dpse   MTG1_DROPS   Q29AU5      FBgn0074370
GA14371             Dpse   MED30_DROPS  Q29DV9      FBgn0074399
GA14431             Dpse   PURA_DROPS   Q299D3      FBgn0074459
GA14526             Dpse   UBA5_DROPS   Q29HT0      FBgn0074554
GA14587             Dpse   CBPA1_DROPS  Q29NC4      FBgn0074615
GA14609             Dpse   EMRE_DROPS   Q290M9      FBgn0074636
GA14712             Dpse   MMSA_DROPS   Q29HB2      FBgn0074739
GA14715             Dpse   NUBP1_DROPS  Q29MT7      FBgn0074742
GA14731             Dpse   MED26_DROPS  Q29CV2      FBgn0074758
GA14866             Dpse   ASPG1_DROPS  Q28Y14      FBgn0074893
GA14893             Dpse   U605_DROPS   Q28YX9      FBgn0074919
GA14949             Dpse   PTER_DROPS   Q29BL3      FBgn0074975
GA15091             Dpse   GDAP2_DROPS  Q292F9      FBgn0075116
GA15215             Dpse   LANC3_DROPS  Q29HZ1      FBgn0075239
GA15272             Dpse   T23O_DROPS   Q29I03      FBgn0075296
GA15278             Dpse   PABP2_DROPS  Q28ZX3      FBgn0075302
GA15280             Dpse   RS3A_DROPS   Q29CU2      FBgn0075304
GA15318             Dpse   DOHH_DROPS   Q297S2      FBgn0075338
GA15401             Dpse   MTE13_DROPS  Q29LW1      FBgn0075420
GA15477             Dpse   GNAS_DROPS   Q292P9      FBgn0075494
GA15505             Dpse   NMDA1_DROPS  Q296F7      FBgn0075522
GA15549             Dpse   NNRE_DROPS   Q29FV5      FBgn0075566
GA15559             Dpse   RS21_DROPS   Q29KF5      FBgn0075576
GA15593             Dpse   TRET1_DROPS  Q291H8      FBgn0075610
GA15597             Dpse   LST8_DROPS   Q29HG9      FBgn0075614
GA15922             Dpse   HFW1_DROPS   P84329      FBgn0086366
GA16019             Dpse   PNPH_DROPS   Q297F5      FBgn0076035
GA16050             Dpse   RUMI_DROPS   Q29AU6      FBgn0076066
GA16055             Dpse   RRF2M_DROPS  Q29BD5      FBgn0076071
GA16081             Dpse   TOTX_DROPS   Q299E6      FBgn0076097
GA16231             Dpse   KAD2_DROPS   Q290A8      FBgn0076247
GA16248             Dpse   FOXO_DROPS   Q298W7      FBgn0076264
GA16263             Dpse   KTAP2_DROPS  Q295N5      FBgn0076279
GA16287             Dpse   TOTZ_DROPS   Q299E7      FBgn0076303
GA16329             Dpse   SPNE_DROPS   Q296Q5      FBgn0076345
GA16341             Dpse   DAAF1_DROPS  Q29KL8      FBgn0076357
GA16421             Dpse   TWF_DROPS    Q298X4      FBgn0076436
GA16450             Dpse   MON2_DROPS   Q29L43      FBgn0076465
GA16561             Dpse   GLT25_DROPS  Q29NU5      FBgn0076576
GA16587             Dpse   EIF1A_DROPS  Q29MZ0      FBgn0076602
GA16622             Dpse   RL17_DROPS   Q29IM3      FBgn0076637
GA16655             Dpse   MTND_DROPS   Q2LZI9      FBgn0076670
GA16732             Dpse   COQ4_DROPS   Q2LZH7      FBgn0076747
GA16936             Dpse   COG3_DROPS   Q29N70      FBgn0076950
GA16959             Dpse   NAAT1_DROPS  Q29GB8      FBgn0076973
GA17259             Dpse   KMT5A_DROPS  Q297V5      FBgn0077272
GA17284             Dpse   TMEDE_DROPS  Q295B2      FBgn0077297
GA17444             Dpse   HOT_DROPS    Q28XT3      FBgn0077457
GA17450             Dpse   QTRD1_DROPS  Q29EE9      FBgn0077462
GA17481             Dpse   VIR_DROPS    Q291E4      FBgn0077492
GA17575             Dpse   ST7_DROPS    Q2M146      FBgn0077586
GA17643             Dpse   ATC1_DROPS   Q292Q0      FBgn0077654
GA17651             Dpse   RAD54_DROPS  Q29KH2      FBgn0077662
GA17677             Dpse   CRY1_DROPS   Q293P8      FBgn0077687
GA17706             Dpse   RRP15_DROPS  Q296J6      FBgn0077716
GA17744             Dpse   PGAP2_DROPS  Q29M88      FBgn0077754
GA17779             Dpse   CRBN_DROPS   Q29B72      FBgn0077788
GA17800             Dpse   LMLN_DROPS   Q29AK2      FBgn0077809
GA17841             Dpse   RUVB1_DROPS  Q29AK9      FBgn0077850
GA17904             Dpse   MCM6_DROPS   Q29JI9      FBgn0077913
GA17913             Dpse   TRMB_DROPS   Q29I16      FBgn0077922
GA17940             Dpse   RTEL1_DROPS  Q29FS3      FBgn0077949
GA17951             Dpse   TFP8L_DROPS  Q28ZG0      FBgn0077960
GA18008             Dpse   DRE2_DROPS   Q29P70      FBgn0078017
GA18027             Dpse   SCC4_DROPS   Q296H8      FBgn0078035
GA18063             Dpse   AP2A_DROPS   Q29N38      FBgn0078071
GA18107             Dpse   MOODY_DROPS  Q29J90      FBgn0078115
GA18135             Dpse   PESC_DROPS   Q29NB4      FBgn0078143
GA18140             Dpse   ASPG2_DROPS  Q28XQ5      FBgn0078148
GA18263             Dpse   EFGM_DROPS   Q29N77      FBgn0078269
GA18292             Dpse   OTU1_DROPS   Q29FC9      FBgn0078297
GA18321             Dpse   HH_DROPS     Q29AA9      FBgn0078326
GA18323             Dpse   FBSP1_DROPS  Q290L5      FBgn0078328
GA18326             Dpse   U587_DROPS   Q290L7      FBgn0078331
GA18374             Dpse   ZGPAT_DROPS  Q29NF3      FBgn0078377
GA18377             Dpse   C2D1_DROPS   Q29M42      FBgn0078380
GA18397             Dpse   RM22_DROPS   Q29IK4      FBgn0078399
GA18400             Dpse   MAB21_DROPS  Q29H56      FBgn0078402
GA18401             Dpse   GLYR1_DROPS  Q29NG1      FBgn0078403
GA18408             Dpse   SAP30_DROPS  Q29IK8      FBgn0078410
GA18415             Dpse   MB21L_DROPS  Q29H55      FBgn0078417
GA18441             Dpse   TCTP_DROPS   Q293Y0      FBgn0078443
GA18442             Dpse   MTAP_DROPS   Q291H4      FBgn0078444
GA18448             Dpse   EI3D2_DROPS  Q295S1      FBgn0078450
GA18454             Dpse   SSRP1_DROPS  Q293F6      FBgn0078456
GA18473             Dpse   NAA25_DROPS  Q294E0      FBgn0078475
GA18483             Dpse   NUBP2_DROPS  Q29DB7      FBgn0078485
GA18534             Dpse   CYFIP_DROPS  Q299G2      FBgn0078536
GA18551             Dpse   EIF3C_DROPS  Q28Z41      FBgn0078553
GA18610             Dpse   BOP1_DROPS   Q28XF0      FBgn0078611
GA18674             Dpse   MED28_DROPS  Q294G7      FBgn0078674
GA18683             Dpse   MED9_DROPS   Q290F0      FBgn0078683
GA18687             Dpse   TTC30_DROPS  Q29L58      FBgn0078687
GA18704             Dpse   ATX2_DROPS   Q29A33      FBgn0078704
GA18753             Dpse   LIAS_DROPS   Q2LYK1      FBgn0078753
GA18823             Dpse   CARM1_DROPS  Q29B63      FBgn0078823
GA18838             Dpse   ZFPL1_DROPS  Q298N4      FBgn0078838
GA18862             Dpse   MIRO_DROPS   Q298L5      FBgn0078862
GA18864             Dpse   LOVG_DROPS   Q29BR3      FBgn0078864
GA18892             Dpse   RU1C_DROPS   Q298E0      FBgn0078892
GA18934             Dpse   UBP36_DROPS  Q2LZB1      FBgn0078933
GA18968             Dpse   SQZ_DROPS    Q293Q2      FBgn0078967
GA18980             Dpse   KEN_DROPS    Q292R5      FBgn0078979
GA19025             Dpse   EIF3L_DROPS  Q2M0S3      FBgn0079023
GA19125             Dpse   AN32A_DROPS  Q28XE2      FBgn0079123
GA19183             Dpse   NDC1_DROPS   Q298S5      FBgn0079180
GA19186             Dpse   DDRGK_DROPS  Q295B1      FBgn0079183
GA19268             Dpse   CLP1_DROPS   Q28ZT4      FBgn0079265
GA19274             Dpse   SPAST_DROPS  Q298L4      FBgn0079271
GA19290             Dpse   GATA_DROPS   Q29BT3      FBgn0079287
GA19338             Dpse   HGH1_DROPS   Q297A7      FBgn0079335
GA19350             Dpse   POMT1_DROPS  Q2LZ62      FBgn0079347
GA19395             Dpse   PITH1_DROPS  Q29L80      FBgn0079392
GA19442             Dpse   WLS_DROPS    Q2LZ37      FBgn0079438
GA19453             Dpse   COPB_DROPS   Q29G21      FBgn0079449
GA19454             Dpse   KLHDB_DROPS  Q2M0J9      FBgn0079450
GA19508             Dpse   FL2D_DROPS   Q28XY0      FBgn0079504
GA19622             Dpse   SUV39_DROPS  Q294B9      FBgn0079618
GA19679             Dpse   CDKAL_DROPS  Q291H5      FBgn0079675
GA19757             Dpse   PIGV_DROPS   Q290J8      FBgn0079753
GA19813             Dpse   WDR12_DROPS  Q29KQ0      FBgn0079809
GA19879             Dpse   ASUN_DROPS   Q295U5      FBgn0079875
GA19938             Dpse   BORA_DROPS   Q2LYY4      FBgn0079934
GA19983             Dpse   GNPI_DROPS   Q29NT9      FBgn0079979
GA20031             Dpse   ARMET_DROPS  Q295V5      FBgn0080027
GA20048             Dpse   NCBP1_DROPS  Q29G82      FBgn0080044
GA20049             Dpse   RNO_DROPS    Q29EQ3      FBgn0080045
GA20166             Dpse   PLK4_DROPS   Q2LYK3      FBgn0080161
GA20206             Dpse   SPC25_DROPS  Q299P8      FBgn0080201
GA20234             Dpse   CCNC_DROPS   Q29AI1      FBgn0080229
GA20244             Dpse   KLP68_DROPS  Q29DY1      FBgn0080239
GA20255             Dpse   TFB1M_DROPS  Q2LZ79      FBgn0080250
GA20387             Dpse   CASP8_DROPS  Q29IM7      FBgn0080382
GA20420             Dpse   CHRB_DROPS   Q2LZ58      FBgn0080415
GA20428             Dpse   MET16_DROPS  Q290Z2      FBgn0080423
GA20482             Dpse   PTC71_DROPS  Q29AP0      FBgn0080477
GA20505             Dpse   NRM_DROPS    Q296J9      FBgn0080499
GA20513             Dpse   WRNXO_DROPS  Q299L3      FBgn0080507
GA20626             Dpse   SRRT_DROPS   Q28WQ8      FBgn0080620
GA20628             Dpse   ARP8_DROPS   Q29G73      FBgn0080622
GA20635             Dpse   S35B3_DROPS  Q29EY2      FBgn0080629
GA20639             Dpse   ASGL1_DROPS  Q29I93      FBgn0080633
GA20643             Dpse   NGLY1_DROPS  Q28YQ7      FBgn0080637
GA20705             Dpse   ARP5_DROPS   Q293V2      FBgn0080696
GA20707             Dpse   DBR1_DROPS   Q29FE1      FBgn0080698
GA20807             Dpse   CTU1_DROPS   Q28ZC1      FBgn0080797
GA20831             Dpse   JIP3_DROPS   Q29EP6      FBgn0080821
GA20843             Dpse   LMBD2_DROPS  Q29BL9      FBgn0080833
GA20914             Dpse   DYM_DROPS    Q293C2      FBgn0080903
GA20933             Dpse   NTAQ1_DROPS  Q28WL0      FBgn0080922
GA20943             Dpse   DCTN2_DROPS  Q28Y46      FBgn0080932
GA20950             Dpse   PDE6_DROPS   Q298P4      FBgn0080939
GA20974             Dpse   EIF3M_DROPS  Q292F0      FBgn0080963
GA21037             Dpse   UFC1_DROPS   Q28X71      FBgn0081025
GA21073             Dpse   SYCC_DROPS   Q291L4      FBgn0081061
GA21079             Dpse   LIS1_DROPS   Q291L9      FBgn0081067
GA21082             Dpse   CLU_DROPS    Q291J5      FBgn0081070
GA21084             Dpse   CALYP_DROPS  Q291J4      FBgn0081072
GA21097             Dpse   HTRA2_DROPS  Q297U2      FBgn0081085
GA21112             Dpse   SOTI_DROPS   Q297U9      FBgn0081100
GA21168             Dpse   KIF1A_DROPS  Q28WQ1      FBgn0081156
GA21210             Dpse   RL18_DROPS   Q2M0G4      FBgn0081198
GA21225             Dpse   ZC3HF_DROPS  Q28Y69      FBgn0081213
GA21226             Dpse   EI3GA_DROPS  Q29GU0      FBgn0081214
GA21227             Dpse   TRC_DROPS    Q2LZZ7      FBgn0081215
GA21229             Dpse   LPHN_DROPS   Q292N4      FBgn0081217
GA21277             Dpse   LIG_DROPS    Q290X3      FBgn0081265
GA21278             Dpse   SWET1_DROPS  Q290X1      FBgn0081266
GA21343             Dpse   AFF4_DROPS   Q29KG4      FBgn0081331
GA21365             Dpse   RM24_DROPS   Q29MA5      FBgn0081353
GA21371             Dpse   RS11_DROPS   Q292D0      FBgn0081359
GA21387             Dpse   EIF3I_DROPS  Q29L19      FBgn0081375
GA21419             Dpse   EXD_DROPS    Q29CT2      FBgn0081406
GA21437             Dpse   TEF_DROPS    Q290S5      FBgn0081424
GA21443             Dpse   PTK7_DROPS   Q290N5      FBgn0081430
GA21511             Dpse   WDR48_DROPS  Q28YY2      FBgn0081497
GA21586             Dpse   WSCD_DROPS   Q29G54      FBgn0081572
GA21616             Dpse   IHOG_DROPS   Q29JX6      FBgn0081601
GA21628             Dpse   U389_DROPS   Q29DG0      FBgn0081613
GA21678             Dpse   PDE6D_DROPS  Q29JT7      FBgn0081663
GA21740             Dpse   RAS1_DROPS   Q295X7      FBgn0081725
GA21760             Dpse   TULP_DROPS   Q28X18      FBgn0081745
GA21854             Dpse   FICD_DROPS   Q29JP8      FBgn0081839
GA21858             Dpse   RETM_DROPS   Q29JQ0      FBgn0081843
GA21912             Dpse   COQ2_DROPS   Q298G6      FBgn0081897
GA21959             Dpse   EIF3E_DROPS  Q29EX2      FBgn0081944
GA22008             Dpse   RUVB2_DROPS  Q29DI0      FBgn0081993
GA22021             Dpse   EI3F1_DROPS  Q295I4      FBgn0082006
GA22022             Dpse   HPS5_DROPS   Q297N8      FBgn0082007
GA22038             Dpse   SUV3_DROPS   Q295E6      FBgn0082022
GA22048             Dpse   EIF3A_DROPS  Q295G5      FBgn0082032
GA22148             Dpse   CCD22_DROPS  Q8I1C8      FBgn0064421
GA22810             Dpse   UBE2S_DROPS  B5DKM4      FBgn0244212
GA22888             Dpse   NFU1_DROPS   B5DKJ8      FBgn0244290
GA22927             Dpse   SWS_DROPS    B5DKS8      FBgn0244329
GA23546             Dpse   TRM5_DROPS   B5DPF1      FBgn0244946
GA23607             Dpse   URM1_DROPS   B5DQK2      FBgn0245007
GA23623             Dpse   PYRG_DROPS   Q2M197      FBgn0245023
GA24324             Dpse   OST4_DROPS   B5E1E8      FBgn0245721
GA24496             Dpse   EIF3K_DROPS  Q292B6      FBgn0245887
GA24523             Dpse   SDF2B_DROPS  B5DZ31      FBgn0245914
GA24539             Dpse   EAF_DROPS    B5E1I4      FBgn0245930
GA24672             Dpse   ANM7_DROPS   B5DZN7      FBgn0246060
GA24714             Dpse   QVR_DROPS    B5E022      FBgn0246100
GA24735             Dpse   EIF3B_DROPS  B5E081      FBgn0246121
GA24773             Dpse   UFM1_DROPS   B5E0K3      FBgn0246159
GA24966             Dpse   MOC31_DROPS  B5DS72      FBgn0246349
GA24994             Dpse   SMG8_DROPS   B5E0H4      FBgn0246377
GA25039             Dpse   SDF2A_DROPS  B5E0U2      FBgn0246422
GA25107             Dpse   EI3F2_DROPS  B5E1N0      FBgn0246490
GA25285             Dpse   NNRD_DROPS   B5DHB2      FBgn0246666
GA25535             Dpse   WDY_DROPS    B5DHW4      FBgn0246913
GA25918             Dpse   U518_DROPS   B5DI68      FBgn0247295
GA26977             Dpse   EI3D1_DROPS  B5DY99      FBgn0248348
GA27010             Dpse   WUHO_DROPS   B5DMC9      FBgn0248381
GA27118             Dpse   SUR8_DROPS   B5DX45      FBgn0248489
GA27368             Dpse   SLX1_DROPS   B5DXG8      FBgn0248735
GA27554             Dpse   ATBP_DROPS   B5DLV1      FBgn0248919
GA27602             Dpse   ARM_DROPS    Q29I35      FBgn0248967
GA27689             Dpse   FEN1_DROPS   B5DUR8      FBgn0249054
GA27866             Dpse   NO66_DROPS   B5DUH6      FBgn0249230
GA28156             Dpse   MAEL2_DROPS  B5DRY3      FBgn0249519
GA28467             Dpse   MAEL1_DROPS  B5DR03      FBgn0249827
GA28629             Dpse   SOSSC_DROPS  B5DRT7      FBgn0249989
GA28878             Dpse   EIF3H_DROPS  B5DJJ2      FBgn0250237
GA29066             Dpse   GATC_DROPS   B5DK05      FBgn0250424
GA29080             Dpse   NARF_DROPS   B5DK31      FBgn0265246
GA29083             Dpse   DCLK_DROPS   B5DK35      FBgn0250441
GA29124             Dpse   HH_DROPS     Q29AA9      FBgn0250482
GA30484             Dpse   SETB1_DROPS  Q28Z18      FBgn0265021
Gad1                       DCE_DROME    P20228      FBgn0004516
Gale                       GALE_DROME   Q9W0P5      FBgn0035147
GalNAc-T1                  GALT1_DROME  Q6WV20      FBgn0034025
GalNAc-T2                  GALT7_DROME  Q8MV48      FBgn0030930
Galphaf                    GNAF_DROME   Q05337      FBgn0010223
Galphai                    GNAI_DROME   P20353      FBgn0001104
Galphao                    GNAO_DROME   P16378      FBgn0001122
Galphaq                    GNAQ_DROME   P23625      FBgn0004435
Galphas                    GNAS_DROME   P20354      FBgn0001123
Galt                       GALT_DROME   Q9VMA2      FBgn0263200
gammaCOP                   COPG_DROME   Q8I0G5      FBgn0028968
gammaTry                   TRYDG_DROME  P42276      FBgn0010359
                    Dere   TRYDG_DROER  P54626      FBgn0015081
gammaTub23C                TBG1_DROME   P23257      FBgn0260639
gammaTub37C                TBG2_DROME   P42271      FBgn0010097
Gapdh1                     G3P1_DROME   P07486      FBgn0001091
                    Dhyd   G3P_DROHY    Q01597      FBgn0012366
Gapdh2                     G3P2_DROME   P07487      FBgn0001092
                    Dpse   G3P2_DROPS   O44104      FBgn0012698
                    Dsub   G3P2_DROSU   O44105      FBgn0012937
Gas8                       GAS8_DROME   Q8MT08      FBgn0029667
gatA                       GATA_DROME   Q9VE09      FBgn0260779
gbb                        60A_DROME    P27091      FBgn0024234
                    Dvir   60A_DROVI    Q24735      FBgn0015681
Gbeta13F                   GBB1_DROME   P26308      FBgn0001105
Gbeta76C                   GBB2_DROME   P29829      FBgn0004623
Gbs-76A                    GBS76_DROME  Q9VVY3      FBgn0036862
gcl                        GCL_DROME    Q01820      FBgn0005695
Gclc                       GSH1_DROME   Q9W3K5      FBgn0040319
gcm                        GCM_DROME    Q27403      FBgn0014179
gcm2                       GCM2_DROME   Q9VLA2      FBgn0019809
gd                         GD_DROME     O62589      FBgn0000808
GD10043             Dsim   AKTP1_DROSI  B4QHS6      FBgn0181818
GD10077             Dsim   OST4_DROSI   B4QH87      FBgn0181852
GD10178             Dsim   SDF2A_DROSI  B4QFP7      FBgn0181953
GD10240             Dsim   ASNA_DROSI   B4QEC4      FBgn0182015
GD10335             Dsim   SRRT_DROSI   B4QCR6      FBgn0182107
GD10400             Dsim   EI3F2_DROSI  B4QD77      FBgn0182171
GD10618             Dsim   H2B_DROSI    P59782      FBgn0182385
GD10660             Dsim   H4_DROSI     P84043      FBgn0182427
GD10667             Dsim   ASPG1_DROSI  B4QHB1      FBgn0182434
GD10704             Dsim   EIF3J_DROSI  B4QHU5      FBgn0182469
GD10799             Dsim   QVR_DROSI    B4QBL6      FBgn0182562
GD10807             Dsim   TRE11_DROSI  B4QBN2      FBgn0182570
GD10808             Dsim   TRE12_DROSI  B4QBN3      FBgn0182571
GD10926             Dsim   H4_DROSI     P84043      FBgn0182689
GD11140             Dsim   NTAQ1_DROSI  B4QGZ1      FBgn0182895
GD11168             Dsim   LIS1_DROSI   B4QHG6      FBgn0182923
GD11217             Dsim   H4_DROSI     P84043      FBgn0182969
GD11284             Dsim   EIF3B_DROSI  B4QB88      FBgn0183033
GD11564             Dsim   TULP_DROSI   B4QFM2      FBgn0183305
GD11638             Dsim   H2B_DROSI    P59782      FBgn0183378
GD11690             Dsim   H4_DROSI     P84043      FBgn0183430
GD11764             Dsim   H4_DROSI     P84043      FBgn0183503
GD11825             Dsim   KAD2_DROSI   B4QBH8      FBgn0183564
GD11868             Dsim   BRCA2_DROSI  B4QC10      FBgn0183607
GD12112             Dsim   PLK4_DROSI   B4QK53      FBgn0183849
GD12301             Dsim   H2B_DROSI    P59782      FBgn0184035
GD12333             Dsim   SGF11_DROSI  B4QPV0      FBgn0184065
GD12405             Dsim   COQ4_DROSI   B4QNU8      FBgn0184137
GD12442             Dsim   EIF3E_DROSI  B4QMY7      FBgn0184174
GD12536             Dsim   FLOWR_DROSI  B4QLP9      FBgn0184264
GD12574             Dsim   H4_DROSI     P84043      FBgn0184301
GD12745             Dsim   EIF3L_DROSI  B4QR64      FBgn0184472
GD12816             Dsim   WLS_DROSI    B4QPR1      FBgn0184542
GD12947             Dsim   SMG_DROSI    B4QMP1      FBgn0184671
GD13043             Dsim   URM1_DROSI   B4QKW3      FBgn0184765
GD13207             Dsim   SHEP_DROSI   B4QRJ0      FBgn0184928
GD13471             Dsim   CUE_DROSI    B4QMF4      FBgn0185182
GD13555             Dsim   H2A_DROSI    P84054      FBgn0185265
GD13899             Dsim   UBP36_DROSI  B4QIS3      FBgn0185595
GD13905             Dsim   H2A_DROSI    P84054      FBgn0185601
GD14575             Dsim   KLHDB_DROSI  B4QLQ2      FBgn0186255
GD14652             Dsim   U239_DROSI   Q9U5V3      FBgn0028445
GD14669             Dsim   H2A_DROSI    P84054      FBgn0186347
GD14793             Dsim   SOSSC_DROSI  B4QQE2      FBgn0186466
GD14890             Dsim   VMA21_DROSI  B4QJ33      FBgn0186562
GD14899             Dsim   NUBP2_DROSI  B4QJ46      FBgn0186571
GD15049             Dsim   MAEL_DROSI   B4QL99      FBgn0186721
GD15199             Dsim   PYM_DROSI    B4NSP6      FBgn0186869
GD15331             Dsim   H2A_DROSI    P84054      FBgn0186999
GD15490             Dsim   NFU1_DROSI   B4R3T1      FBgn0187157
GD15506             Dsim   H2B_DROSI    P59782      FBgn0187173
GD16061             Dsim   H2B_DROSI    P59782      FBgn0187699
GD16082             Dsim   H2A_DROSI    P84054      FBgn0187720
GD16138             Dsim   DM7B_DROSI   B4R694      FBgn0187772
GD16262             Dsim   NAAT1_DROSI  B4R4T6      FBgn0187889
GD16342             Dsim   U729_DROSI   B4R3W7      FBgn0187965
GD16394             Dsim   TRMB_DROSI   B4R338      FBgn0188011
GD16411             Dsim   PGAM5_DROSI  B4R313      FBgn0188028
GD16414             Dsim   MTNA_DROSI   B4QSM8      FBgn0188031
GD16684             Dsim   NO66_DROSI   B4R4H1      FBgn0188273
GD16944             Dsim   H2A_DROSI    P84054      FBgn0188524
GD17028             Dsim   UBA5_DROSI   B4R345      FBgn0188603
GD17142             Dsim   MTNB_DROSI   B4R4E9      FBgn0188711
GD17256             Dsim   H2B_DROSI    P59782      FBgn0188818
GD17343             Dsim   UBE2S_DROSI  B4R6G1      FBgn0188903
GD17671             Dsim   PTC71_DROSI  B4R089      FBgn0189220
GD17698             Dsim   NARF_DROSI   B4NSS7      FBgn0189247
GD17699             Dsim   DCLK_DROSI   B4NSS9      FBgn0189248
GD17906             Dsim   CISD2_DROSI  B4QZI8      FBgn0189452
GD18029             Dsim   H4_DROSI     P84043      FBgn0189573
GD18050             Dsim   H4_DROSI     P84043      FBgn0189594
GD18231             Dsim   MOC2A_DROSI  B4QUC1      FBgn0189765
GD18232             Dsim   MOC2B_DROSI  B4QUC0      FBgn0189766
GD18403             Dsim   HH_DROSI     B4R1D8      FBgn0189928
GD18538             Dsim   H2A_DROSI    P84054      FBgn0190060
GD18653             Dsim   H4_DROSI     P84043      FBgn0190174
GD18661             Dsim   CRBN_DROSI   B4QVV3      FBgn0190182
GD18759             Dsim   H4_DROSI     P84043      FBgn0190279
GD18783             Dsim   WDR55_DROSI  B4QTL6      FBgn0190302
GD18944             Dsim   H2B_DROSI    P59782      FBgn0190455
